TimeRelative,TimeNanos,NumSatellites,Cn0DbHz,AccumulatedDeltaRangeMeters,CarrierFrequencyHz,lat,lon,altitude,nmea_time
0.0,4514908000000,12,31.25,76231.91375473853,1508925033.3333333,37.62645987,-122.425745105,42.18,17:56:36+00:00
1.0,4515908000000,12,31.650000000000002,76222.30811213383,1475677535.0,37.62645987,-122.425745105,42.18,17:56:37+00:00
2.0,4516908000000,12,32.166666666666664,23067.592304780643,1475677535.0,37.62645987,-122.425745105,42.18,17:56:38+00:00
3.0,4517908000000,14,30.364285714285717,58591.57827977055,1461428607.142857,37.62645987,-122.425745105,42.18,17:56:39+00:00
4.0,4518908000000,14,29.864285714285717,19733.912022115786,1461428607.142857,37.62645987333333,-122.42574510333333,42.19,17:56:40+00:00
5.0,4519908000000,13,31.153846153846153,70329.84110052125,1452660036.1538463,37.62645987166667,-122.425745105,42.18,17:56:41+00:00
6.0,4520908000000,14,29.228571428571428,23143.77420148207,1461428607.142857,37.62645987,-122.425745105,42.18,17:56:42+00:00
7.0,4521908000000,13,30.653846153846153,63427.23011088115,1452660036.1538463,37.62645987,-122.425745105,42.18,17:56:43+00:00
8.0,4522908000000,14,29.414285714285715,23200.333006844965,1461428607.142857,37.626459868333335,-122.425745095,42.18,17:56:44+00:00
9.0,4523908000000,13,30.45384615384615,66021.89711511655,1452660036.1538463,37.626459866666664,-122.42574507166667,42.18,17:56:45+00:00
10.0,4524908000000,13,30.53846153846154,24445.51693506224,1452660036.1538463,37.62645987,-122.42574506666666,42.18,17:56:46+00:00
11.0,4525908000000,13,30.99230769230769,65982.43741721487,1452660036.1538463,37.626459876666665,-122.42574506666666,42.18,17:56:47+00:00
12.0,4526908000000,13,31.361538461538462,24483.142177282025,1452660036.1538463,37.62645988166667,-122.42574506666666,42.18,17:56:48+00:00
13.0,4527908000000,14,29.957142857142856,61232.7241636259,1461428607.142857,37.62645989333333,-122.42574507833334,42.18,17:56:49+00:00
14.0,4528908000000,13,31.246153846153845,24521.036327706668,1452660036.1538463,37.62645989333333,-122.42574507666667,42.18,17:56:50+00:00
15.0,4529908000000,14,30.185714285714287,57922.16032189067,1461428607.142857,37.62645990666667,-122.42574508333334,42.18,17:56:51+00:00
16.0,4530908000000,13,31.27692307692308,25225.69909836067,1452660036.1538463,37.626459935,-122.425745105,42.18,17:56:52+00:00
17.0,4531908000000,14,29.914285714285715,61789.8919795186,1461428607.142857,37.626455585,-122.42574483166666,42.21,17:56:53+00:00
18.0,4532908000000,12,31.733333333333334,27393.70993052678,1442430036.6666667,37.626425565,-122.42574138,42.31,17:56:54+00:00
19.0,4533908000000,12,31.45,72070.4738730541,1442430036.6666667,37.62637233666667,-122.42573210666667,42.43,17:56:55+00:00
20.0,4534908000000,13,30.646153846153844,25347.218480164393,1452660036.1538463,37.62631733833334,-122.42572238666666,42.57,17:56:56+00:00
21.0,4535908000000,12,31.96666666666667,71273.12858295602,1442430036.6666667,37.626274738333336,-122.425714915,42.71,17:56:57+00:00
22.0,4536908000000,13,30.892307692307693,24677.64218351776,1452660036.1538463,37.626241271666665,-122.42570874666667,42.84,17:56:58+00:00
23.0,4537908000000,13,30.684615384615384,66494.35792980758,1452660036.1538463,37.62621407333334,-122.42570355833334,42.93,17:56:59+00:00
24.0,4538908000000,12,31.71666666666667,27591.9901132364,1442430036.6666667,37.626193746666665,-122.42569936666666,43.01,17:57:00+00:00
25.0,4539908000000,14,29.642857142857142,61730.19232499828,1461428607.142857,37.62617436166666,-122.42569565,43.08,17:57:01+00:00
26.0,4540908000000,13,31.03076923076923,24756.85383216141,1452660036.1538463,37.626155346666664,-122.42569206166667,43.15,17:57:02+00:00
27.0,4541908000000,13,31.107692307692307,65678.71820575473,1452660036.1538463,37.62614085,-122.42568931166667,43.21,17:57:03+00:00
28.0,4542908000000,14,29.978571428571428,23027.323427057217,1461428607.142857,37.626133851666665,-122.42568795833333,43.24,17:57:04+00:00
29.0,4543908000000,12,32.175000000000004,71114.40275196017,1442430036.6666667,37.626133378333336,-122.42568784166667,43.24,17:57:05+00:00
30.0,4544908000000,13,31.307692307692307,24841.809526489924,1452660036.1538463,37.626133403333334,-122.42568781666667,43.24,17:57:06+00:00
31.0,4545908000000,13,31.292307692307695,65610.13762906705,1452660036.1538463,37.626133425,-122.42568780166667,43.24,17:57:07+00:00
32.0,4546908000000,12,32.050000000000004,26958.310420500115,1442430036.6666667,37.626133276666664,-122.42568773666666,43.24,17:57:08+00:00
33.0,4547908000000,13,31.323076923076922,65557.46808874364,1452660036.1538463,37.626130528333334,-122.42568719166667,43.26,17:57:09+00:00
34.0,4548908000000,14,30.264285714285712,23891.8128416455,1461428607.142857,37.62612265333333,-122.42568565,43.3,17:57:10+00:00
35.0,4549908000000,13,30.823076923076922,65442.448645511206,1452660036.1538463,37.626103343333334,-122.42568101166667,43.38,17:57:11+00:00
36.0,4550908000000,13,29.430769230769233,75231.7338063293,1452660036.1538463,37.626072701666665,-122.42567406833334,43.51,17:57:12+00:00
37.0,4551908000000,13,29.23846153846154,66220.76920579388,1452660036.1538463,37.62603918166667,-122.42566686333333,43.63,17:57:13+00:00
38.0,4552908000000,13,30.361538461538462,25696.39158511151,1452660036.1538463,37.626011643333335,-122.42566735166666,43.71,17:57:14+00:00
39.0,4553908000000,13,31.73076923076923,65210.73530414736,1452660036.1538463,37.625988585,-122.42567953333334,43.79,17:57:15+00:00
40.0,4554908000000,14,30.99285714285714,22984.35606078129,1461428607.142857,37.625971055,-122.42570379833333,43.86,17:57:16+00:00
